OrderID,OrderDate,Region,Segment,Category,SubCategory,Quantity,Sales,Discount,Profit
649,2023-01-01,West,Home Office,Office Supplies,Storage,9,246.52,0.2,39.8
2035,2023-01-01,South,Corporate,Office Supplies,Binders,9,272.59,0.0,43.56
1138,2023-01-01,South,Consumer,Technology,Accessories,4,1995.38,0.0,100.45
1978,2023-01-01,West,Home Office,Technology,Phones,6,2184.0,0.15,277.47
756,2023-01-01,North,Consumer,Technology,Machines,9,2524.19,0.0,541.67
980,2023-01-01,West,Home Office,Technology,Phones,1,617.04,0.2,72.2
69,2023-01-02,South,Consumer,Technology,Phones,9,2160.48,0.1,8.76
1916,2023-01-02,East,Home Office,Office Supplies,Paper,6,186.67,0.0,47.58
2136,2023-01-02,North,Consumer,Furniture,Chairs,7,1169.79,0.1,47.71
1802,2023-01-02,East,Home Office,Office Supplies,Binders,1,63.24,0.1,15.96
269,2023-01-02,North,Home Office,Office Supplies,Paper,5,286.99,0.3,-25.65
213,2023-01-02,North,Home Office,Technology,Machines,7,4032.3,0.3,551.84
884,2023-01-03,South,Corporate,Office Supplies,Binders,7,289.96,0.1,60.84
1493,2023-01-03,East,Home Office,Technology,Phones,5,1512.49,0.3,156.73
2090,2023-01-03,North,Home Office,Technology,Machines,3,787.52,0.1,175.91
1551,2023-01-03,East,Corporate,Furniture,Chairs,4,1180.18,0.15,208.11
956,2023-01-04,North,Home Office,Office Supplies,Storage,5,303.81,0.2,19.58
1301,2023-01-04,West,Consumer,Office Supplies,Paper,5,169.52,0.2,8.74
133,2023-01-05,North,Home Office,Technology,Machines,7,2851.33,0.15,-27.34
1025,2023-01-05,South,Home Office,Office Supplies,Storage,4,144.89,0.1,15.15
722,2023-01-05,North,Consumer,Furniture,Chairs,6,1940.81,0.0,618.89
834,2023-01-05,South,Consumer,Furniture,Tables,8,2671.91,0.0,505.04
421,2023-01-05,West,Corporate,Office Supplies,Binders,2,101.34,0.1,12.02
952,2023-01-06,West,Consumer,Office Supplies,Binders,4,213.46,0.15,43.78
2347,2023-01-07,South,Home Office,Furniture,Tables,7,2395.6,0.0,618.74
1835,2023-01-07,South,Home Office,Furniture,Bookcases,2,495.82,0.2,97.13
1252,2023-01-07,North,Home Office,Office Supplies,Storage,7,188.45,0.0,49.56
883,2023-01-07,North,Corporate,Office Supplies,Storage,5,313.13,0.0,60.85
1688,2023-01-07,West,Corporate,Technology,Phones,5,2495.17,0.0,314.66
1619,2023-01-07,East,Consumer,Office Supplies,Paper,4,99.94,0.3,2.55
863,2023-01-08,North,Consumer,Furniture,Chairs,4,1421.8,0.15,197.65
2514,2023-01-08,South,Consumer,Technology,Accessories,5,1319.81,0.0,168.69
2012,2023-01-08,West,Home Office,Office Supplies,Binders,4,197.35,0.0,33.84
1228,2023-01-08,East,Corporate,Technology,Phones,5,2290.73,0.0,626.86
2942,2023-01-08,East,Home Office,Furniture,Chairs,8,2586.26,0.1,49.94
694,2023-01-08,East,Corporate,Furniture,Tables,3,851.56,0.15,174.94
599,2023-01-09,West,Corporate,Office Supplies,Binders,1,42.4,0.0,6.82
1819,2023-01-09,North,Consumer,Office Supplies,Storage,1,36.27,0.3,1.58
276,2023-01-09,East,Consumer,Furniture,Chairs,3,813.29,0.15,102.34
990,2023-01-10,South,Corporate,Furniture,Bookcases,5,1955.78,0.1,348.65
2170,2023-01-10,West,Corporate,Furniture,Bookcases,9,1480.94,0.2,24.71
1943,2023-01-10,West,Home Office,Technology,Machines,5,2247.4,0.0,191.71
2499,2023-01-10,West,Home Office,Office Supplies,Binders,2,94.23,0.0,18.19
2666,2023-01-10,North,Home Office,Office Supplies,Paper,6,179.78,0.0,20.79
719,2023-01-10,West,Corporate,Office Supplies,Paper,8,463.95,0.0,46.51
1100,2023-01-11,East,Home Office,Technology,Phones,1,416.34,0.1,92.57
1516,2023-01-11,West,Home Office,Office Supplies,Paper,8,477.19,0.1,81.0
1779,2023-01-11,South,Consumer,Office Supplies,Storage,2,125.13,0.0,36.24
1347,2023-01-11,North,Corporate,Furniture,Chairs,8,1851.66,0.0,390.03
2378,2023-01-12,South,Home Office,Technology,Phones,9,4078.39,0.0,1367.29
2099,2023-01-12,West,Consumer,Office Supplies,Paper,7,363.6,0.1,59.06
2681,2023-01-12,West,Consumer,Furniture,Bookcases,4,733.39,0.2,34.94
1401,2023-01-12,West,Home Office,Furniture,Tables,1,225.4,0.1,0.65
513,2023-01-12,West,Consumer,Office Supplies,Paper,5,252.45,0.15,10.21
2282,2023-01-12,West,Home Office,Office Supplies,Storage,1,26.9,0.0,5.61
1987,2023-01-12,West,Corporate,Technology,Phones,6,3006.54,0.1,136.06
1847,2023-01-12,South,Corporate,Furniture,Tables,4,770.11,0.1,101.2
2334,2023-01-12,East,Home Office,Furniture,Chairs,2,427.56,0.1,18.27
688,2023-01-12,North,Corporate,Furniture,Chairs,5,1106.48,0.15,256.4
994,2023-01-13,North,Consumer,Office Supplies,Storage,8,509.7,0.0,36.55
2455,2023-01-13,North,Home Office,Office Supplies,Storage,2,101.63,0.0,12.88
2673,2023-01-13,West,Home Office,Furniture,Bookcases,2,740.76,0.0,102.74
1924,2023-01-14,West,Consumer,Office Supplies,Storage,7,267.43,0.1,67.15
2683,2023-01-14,West,Corporate,Furniture,Chairs,1,376.37,0.1,106.6
1846,2023-01-14,South,Home Office,Technology,Machines,1,492.24,0.3,47.82
54,2023-01-14,North,Home Office,Office Supplies,Storage,4,225.05,0.1,65.0
139,2023-01-15,North,Home Office,Technology,Accessories,9,4703.87,0.1,394.52
1084,2023-01-15,East,Consumer,Office Supplies,Paper,5,288.84,0.1,68.92
1060,2023-01-15,East,Home Office,Office Supplies,Storage,3,111.7,0.0,31.23
890,2023-01-15,South,Corporate,Furniture,Tables,5,1605.97,0.0,459.22
98,2023-01-15,West,Corporate,Furniture,Tables,6,1185.16,0.15,275.4
1463,2023-01-16,East,Corporate,Furniture,Bookcases,8,2643.71,0.3,-239.33
491,2023-01-16,North,Consumer,Furniture,Chairs,8,2955.38,0.0,782.02
2978,2023-01-16,South,Consumer,Office Supplies,Paper,8,333.56,0.2,69.43
1423,2023-01-16,West,Corporate,Technology,Phones,9,2513.23,0.1,528.28
2489,2023-01-17,West,Consumer,Technology,Machines,9,5364.03,0.1,392.58
1397,2023-01-17,North,Home Office,Technology,Machines,4,2239.99,0.3,-20.23
341,2023-01-17,East,Corporate,Office Supplies,Storage,2,98.22,0.1,23.88
1377,2023-01-17,South,Consumer,Office Supplies,Binders,4,165.8,0.3,-3.83
1315,2023-01-17,North,Home Office,Office Supplies,Paper,1,50.73,0.15,4.79
1644,2023-01-17,North,Corporate,Furniture,Tables,6,1086.75,0.3,-95.55
1670,2023-01-17,East,Home Office,Office Supplies,Storage,2,114.58,0.1,22.21
2525,2023-01-17,West,Corporate,Office Supplies,Binders,4,114.91,0.0,21.11
366,2023-01-18,West,Home Office,Office Supplies,Storage,8,456.07,0.15,26.05
1205,2023-01-18,East,Corporate,Technology,Machines,8,4580.53,0.0,979.45
560,2023-01-19,East,Home Office,Technology,Machines,4,1610.13,0.3,133.84
2738,2023-01-19,North,Consumer,Office Supplies,Paper,2,99.65,0.0,11.15
2642,2023-01-19,South,Home Office,Office Supplies,Paper,7,420.85,0.3,42.28
1204,2023-01-19,East,Consumer,Technology,Phones,5,2378.27,0.1,298.53
2063,2023-01-19,West,Consumer,Office Supplies,Storage,8,341.47,0.2,-5.71
1543,2023-01-20,South,Home Office,Office Supplies,Paper,2,79.04,0.0,4.32
2698,2023-01-20,North,Corporate,Technology,Accessories,3,1088.85,0.15,243.42
2708,2023-01-20,North,Home Office,Technology,Machines,5,3176.47,0.2,632.89
2688,2023-01-20,North,Corporate,Office Supplies,Binders,7,380.51,0.1,107.8
391,2023-01-20,North,Consumer,Technology,Accessories,5,2269.32,0.2,63.01
1976,2023-01-20,West,Home Office,Office Supplies,Paper,4,164.4,0.0,47.79
2110,2023-01-21,East,Corporate,Technology,Machines,8,4534.66,0.15,866.71
2848,2023-01-21,West,Home Office,Office Supplies,Binders,6,187.41,0.0,18.56
1717,2023-01-21,West,Consumer,Technology,Phones,9,4128.25,0.1,854.58
7,2023-01-21,West,Home Office,Technology,Machines,5,1266.38,0.0,311.46
1908,2023-01-21,North,Consumer,Furniture,Bookcases,6,2225.69,0.3,52.23
48,2023-01-21,North,Consumer,Office Supplies,Binders,2,87.11,0.1,25.1
2483,2023-01-21,South,Home Office,Technology,Phones,2,826.7,0.1,184.49
320,2023-01-22,West,Corporate,Furniture,Bookcases,9,1571.84,0.0,198.49
1841,2023-01-22,West,Consumer,Office Supplies,Storage,2,112.42,0.0,19.74
30,2023-01-22,West,Corporate,Technology,Accessories,1,422.49,0.0,36.46
1710,2023-01-22,East,Consumer,Technology,Accessories,6,2619.87,0.0,247.28
2886,2023-01-22,South,Corporate,Technology,Accessories,6,3251.76,0.0,873.99
1674,2023-01-22,West,Consumer,Furniture,Chairs,7,2434.3,0.1,143.5
2643,2023-01-23,East,Home Office,Technology,Phones,4,2305.33,0.1,289.11
481,2023-01-23,East,Consumer,Furniture,Chairs,7,1944.41,0.1,544.61
746,2023-01-23,South,Home Office,Office Supplies,Binders,1,33.57,0.0,9.94
1105,2023-01-23,West,Corporate,Office Supplies,Binders,1,41.57,0.2,3.2
1042,2023-01-23,West,Corporate,Office Supplies,Paper,5,126.27,0.0,30.29
1880,2023-01-24,East,Consumer,Office Supplies,Binders,4,114.14,0.1,14.52
1165,2023-01-25,West,Consumer,Furniture,Chairs,2,333.31,0.3,52.36
2369,2023-01-25,West,Consumer,Office Supplies,Binders,4,248.05,0.1,49.69
578,2023-01-25,South,Corporate,Furniture,Chairs,7,1227.04,0.1,118.8
1383,2023-01-25,East,Home Office,Office Supplies,Paper,8,224.07,0.15,-8.44
906,2023-01-25,West,Consumer,Technology,Phones,6,1831.48,0.0,279.41
966,2023-01-26,East,Consumer,Office Supplies,Paper,6,242.22,0.0,70.9
2923,2023-01-26,South,Home Office,Technology,Machines,7,3521.15,0.0,286.9
861,2023-01-26,East,Corporate,Furniture,Chairs,7,1877.44,0.1,42.1
2168,2023-01-26,South,Home Office,Office Supplies,Binders,4,211.01,0.0,35.55
1323,2023-01-27,East,Corporate,Office Supplies,Binders,4,119.9,0.1,28.7
328,2023-01-27,South,Corporate,Furniture,Tables,5,1881.92,0.2,-20.58
1742,2023-01-27,North,Consumer,Office Supplies,Paper,2,57.7,0.0,7.16
874,2023-01-28,East,Corporate,Office Supplies,Storage,4,213.67,0.0,32.82
2872,2023-01-28,West,Home Office,Office Supplies,Binders,7,316.72,0.15,-3.71
117,2023-01-28,West,Consumer,Office Supplies,Storage,6,241.38,0.0,67.28
1930,2023-01-28,South,Corporate,Furniture,Tables,3,896.53,0.0,105.61
894,2023-01-28,West,Consumer,Office Supplies,Binders,4,205.03,0.0,34.62
164,2023-01-28,North,Corporate,Furniture,Bookcases,3,701.76,0.15,92.33
1344,2023-01-29,South,Corporate,Office Supplies,Storage,8,304.0,0.1,17.52
1304,2023-01-29,West,Consumer,Office Supplies,Storage,9,239.82,0.0,21.19
1126,2023-01-29,North,Consumer,Technology,Machines,6,3758.01,0.3,486.73
1689,2023-01-29,North,Corporate,Office Supplies,Binders,7,365.42,0.1,53.98
1478,2023-01-29,South,Home Office,Furniture,Tables,4,1593.39,0.15,47.09
2497,2023-01-29,North,Corporate,Furniture,Bookcases,2,405.38,0.15,5.3
613,2023-01-29,North,Corporate,Furniture,Tables,6,2195.34,0.0,702.19
2645,2023-01-30,North,Home Office,Furniture,Chairs,2,665.43,0.0,153.81
1622,2023-01-31,North,Consumer,Office Supplies,Storage,8,427.26,0.0,129.88
1195,2023-02-01,East,Corporate,Office Supplies,Paper,3,99.3,0.1,11.65
2905,2023-02-01,North,Home Office,Technology,Machines,2,492.59,0.1,9.19
1690,2023-02-02,North,Consumer,Office Supplies,Storage,3,160.06,0.0,24.66
120,2023-02-02,East,Corporate,Technology,Phones,1,445.54,0.1,44.9
315,2023-02-02,North,Consumer,Technology,Phones,4,1225.68,0.0,244.88
763,2023-02-03,West,Consumer,Furniture,Bookcases,2,523.98,0.1,135.55
917,2023-02-03,East,Corporate,Furniture,Tables,6,1222.28,0.0,134.87
1314,2023-02-03,North,Corporate,Office Supplies,Storage,2,94.15,0.15,1.73
64,2023-02-04,North,Home Office,Furniture,Bookcases,8,2010.21,0.3,-67.45
518,2023-02-04,East,Consumer,Office Supplies,Binders,6,188.78,0.0,19.87
1872,2023-02-04,South,Home Office,Office Supplies,Paper,8,310.86,0.2,-3.97
1980,2023-02-04,West,Home Office,Office Supplies,Paper,1,32.63,0.15,7.85
389,2023-02-05,East,Home Office,Office Supplies,Paper,2,117.28,0.0,33.24
2235,2023-02-05,West,Home Office,Technology,Accessories,9,2906.33,0.3,230.13
153,2023-02-05,East,Home Office,Office Supplies,Storage,6,150.79,0.0,20.25
2154,2023-02-05,North,Corporate,Office Supplies,Paper,4,165.79,0.2,19.5
1662,2023-02-06,North,Corporate,Technology,Machines,2,1032.74,0.1,254.27
274,2023-02-06,North,Consumer,Technology,Phones,1,330.43,0.2,69.1
350,2023-02-06,East,Home Office,Office Supplies,Binders,5,267.01,0.1,36.43
1582,2023-02-06,West,Corporate,Office Supplies,Paper,8,222.33,0.0,12.41
547,2023-02-06,South,Home Office,Furniture,Tables,9,3043.91,0.1,86.28
1576,2023-02-07,West,Home Office,Furniture,Tables,2,538.16,0.0,125.37
322,2023-02-07,North,Consumer,Furniture,Bookcases,1,280.92,0.0,53.65
2705,2023-02-07,South,Corporate,Technology,Machines,5,2007.91,0.2,318.18
896,2023-02-08,South,Home Office,Furniture,Bookcases,9,1893.61,0.15,36.03
585,2023-02-08,East,Home Office,Office Supplies,Storage,3,137.29,0.1,13.31
1051,2023-02-08,West,Home Office,Office Supplies,Binders,7,203.3,0.2,17.01
1455,2023-02-08,North,Consumer,Office Supplies,Storage,7,390.8,0.0,73.53
637,2023-02-08,East,Corporate,Office Supplies,Paper,5,309.51,0.15,12.53
1703,2023-02-08,East,Home Office,Furniture,Tables,6,2104.39,0.0,224.48
1998,2023-02-08,South,Home Office,Office Supplies,Paper,3,116.56,0.3,9.52
382,2023-02-08,West,Home Office,Office Supplies,Binders,5,284.05,0.1,32.86
2147,2023-02-08,West,Home Office,Office Supplies,Paper,7,300.22,0.0,50.58
1384,2023-02-08,North,Consumer,Office Supplies,Binders,2,125.04,0.1,32.02
2599,2023-02-08,South,Corporate,Office Supplies,Paper,2,75.85,0.0,20.15
1477,2023-02-08,West,Home Office,Technology,Machines,2,994.06,0.1,226.33
948,2023-02-09,North,Corporate,Office Supplies,Binders,8,466.3,0.0,44.09
1570,2023-02-09,East,Corporate,Office Supplies,Storage,4,113.2,0.2,-2.51
2964,2023-02-09,West,Corporate,Office Supplies,Paper,1,62.4,0.0,17.06
1587,2023-02-09,West,Home Office,Furniture,Chairs,7,1892.37,0.15,433.7
1597,2023-02-09,East,Home Office,Furniture,Bookcases,3,787.3,0.0,262.13
1596,2023-02-09,South,Home Office,Office Supplies,Storage,2,124.78,0.1,18.33
116,2023-02-10,East,Consumer,Office Supplies,Storage,7,338.7,0.2,59.41
704,2023-02-10,East,Corporate,Office Supplies,Binders,2,94.25,0.3,1.97
96,2023-02-10,West,Home Office,Technology,Phones,6,1701.34,0.1,237.29
1313,2023-02-10,West,Corporate,Technology,Phones,2,1162.36,0.0,240.73
588,2023-02-11,West,Home Office,Technology,Phones,9,2873.51,0.2,102.75
1311,2023-02-11,West,Consumer,Office Supplies,Binders,9,327.98,0.0,49.8
1032,2023-02-11,East,Home Office,Furniture,Tables,5,883.61,0.15,186.29
1382,2023-02-11,West,Consumer,Office Supplies,Storage,3,156.49,0.0,52.04
2337,2023-02-11,East,Corporate,Furniture,Chairs,4,1415.41,0.0,288.85
2518,2023-02-12,North,Consumer,Office Supplies,Paper,4,189.68,0.3,-4.98
2104,2023-02-12,South,Home Office,Office Supplies,Paper,6,240.56,0.15,16.46
509,2023-02-12,North,Corporate,Furniture,Bookcases,2,332.64,0.2,41.21
2873,2023-02-12,East,Consumer,Office Supplies,Binders,1,58.28,0.15,13.99
815,2023-02-12,North,Consumer,Technology,Accessories,9,5186.17,0.1,8.94
2389,2023-02-12,South,Consumer,Technology,Accessories,7,4434.08,0.1,225.39
2927,2023-02-13,North,Home Office,Office Supplies,Storage,1,45.05,0.0,10.31
2631,2023-02-13,West,Consumer,Technology,Phones,6,1584.96,0.1,368.5
1396,2023-02-13,North,Home Office,Office Supplies,Storage,7,335.51,0.2,14.92
845,2023-02-15,East,Home Office,Technology,Accessories,1,486.04,0.1,62.14
1791,2023-02-15,North,Consumer,Office Supplies,Storage,8,242.12,0.1,60.98
346,2023-02-15,West,Home Office,Technology,Phones,7,3281.01,0.1,92.76
1640,2023-02-15,West,Corporate,Technology,Phones,8,3883.06,0.1,722.79
468,2023-02-16,West,Consumer,Furniture,Chairs,4,1205.9,0.1,-2.25
851,2023-02-16,North,Consumer,Technology,Accessories,4,1149.38,0.1,74.74
1421,2023-02-16,East,Corporate,Technology,Phones,2,655.84,0.0,154.17
1538,2023-02-16,East,Consumer,Furniture,Bookcases,9,1363.7,0.1,394.78
1089,2023-02-16,East,Home Office,Technology,Phones,2,1026.96,0.0,277.99
2757,2023-02-16,North,Consumer,Office Supplies,Paper,9,311.11,0.0,67.42
676,2023-02-16,South,Corporate,Technology,Phones,2,902.06,0.15,27.02
425,2023-02-16,South,Home Office,Office Supplies,Storage,3,112.8,0.2,-4.91
858,2023-02-17,West,Home Office,Technology,Phones,7,3656.96,0.1,246.15
121,2023-02-17,South,Home Office,Technology,Accessories,7,2972.81,0.3,233.0
2783,2023-02-18,West,Consumer,Furniture,Chairs,6,1049.29,0.0,52.97
1177,2023-02-18,South,Home Office,Technology,Phones,5,2131.54,0.1,66.24
2178,2023-02-18,West,Home Office,Furniture,Tables,3,594.93,0.1,115.76
339,2023-02-18,East,Consumer,Office Supplies,Storage,4,124.33,0.0,41.9
2771,2023-02-19,East,Home Office,Technology,Machines,4,2459.81,0.0,658.69
2182,2023-02-19,West,Home Office,Technology,Machines,8,3253.38,0.0,541.79
401,2023-02-20,East,Corporate,Office Supplies,Storage,6,334.35,0.0,35.37
757,2023-02-20,North,Consumer,Technology,Phones,6,2052.44,0.2,192.76
832,2023-02-20,West,Corporate,Technology,Phones,7,2868.8,0.3,93.86
2118,2023-02-20,North,Consumer,Office Supplies,Paper,8,431.03,0.0,89.09
1236,2023-02-20,South,Home Office,Technology,Accessories,3,1721.96,0.3,196.86
1125,2023-02-20,North,Home Office,Office Supplies,Storage,1,56.36,0.15,1.38
222,2023-02-22,East,Corporate,Furniture,Chairs,4,1058.32,0.0,82.69
